"name","slug","desc","totRating","avgRating","logoSrc"
"Google","google","Google is a multinational corporation that is specialized in internet-related services and products.",0,4.69230769230769,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1441152509/jpwjd07xo0ycgumam7as.png"
"Credit Union Central of Canada","credit-union-central-of-canada","",0,5,"https://www.central1.com/sites/default/files/uploads/Hands_%26_Globe.jpg"
"National Institute for Materials Science","nims","NIMS is an Independent Administrative Institution and one of the largest scientific research centers in Japan.",0,4,""
"A9","a9","A9, a subsidiary of Amazon.com, develops product search and advertising technology.",0,4.25,"https://qph.ec.quoracdn.net/main-thumb-t-19209-200-QPHMXMBuZ8vB7DfLcToCqCvWaLwdLGWb.jpeg"
"Blitzen","blitzen","Blitzen gives SMB marketers the power to convert website visitors into data-rich leads and capture key customer insights.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1419655039/bjcchpptcw1qdkcamtka.png"
"Quizlet","quizlet","Quizlet is building great learning tools for every student on the planet.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1470856981/fwanigqbp8itwazjjfhn.png"
"Interset","interset",,0,4,
"Goldman Sachs","goldman-sachs","Goldman Sachs is an American multinational finance company that engages in global investment banking, investment management, securities, and other financial services, primarily with institutional clients.",0,3,"https://pbs.twimg.com/profile_images/465954359583322112/mvHVOgH8_400x400.jpeg"
"eHealth Ontario","ehealth-ontario","",0,4,"https://media.glassdoor.com/sqll/321312/ehealth-ontario-squarelogo.png"
"Capco","capco","Global Biz & Tech Consultancy focusing on Financial Services",0,4.85714285714286,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1420633646/x6eqgyikjgadpz02droi.jpg"
"Datadog","datadog",,0,5,
"Palette Gear","palette-gear","Palette manufactures a modular hardware interface that allows users to design controllers for software.",0,2.5,"https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1397194180/e608d3f66e03453d03c0683a0a011015.png"
"ScribbleLive","scribblelive",,0,3,
"Indigenous and Northern Affairs ","indigenous-and-northern-affairs",,0,3,
"500px","500px",,0,0,
"Axiom Zen","axiom-zen",,0,4,
"Compass","compass",,0,0,
"KPMG","kpmg",,0,0,
"if(we)","ifwe",,0,0,
"Luxe","luxe",,0,0,
"Vine","vine","Vine is an online platform that enables users to create short looping video clips for friend and family.",0,5,"https://vine.co/static/images/vine_glyph_2x.png"
"Sony Interactive Entertainment","sony-interactive-entertainment",,0,3,
"TextNow","textnow","TextNow is the world’s first all-ip cloud-based phone carrier.",0,4.22222222222222,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1457553951/hkrpi0kplfvpydy4wqti.png"
"Rave","rave","Watch your favourite videos with friends in perfect sync, anytime, anywhere!",0,2.5,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAg5AAAAJDJiNWJmZWNjLWM1YTUtNDBmYy04Zjc4LTMzOGRhMzA4OGE5Ng.png"
"Voxel8","voxel8",,0,5,
"Autonomic","autonomic",,0,5,
"Deloitte LLP","deloitte-llp","",0,3.5,"https://pbs.twimg.com/profile_images/743125134488133632/A6m8GKqW_400x400.jpg"
"Sony","sony","Sony Australia is the Australian arm of Sony that designs and develops electronic equipment, instruments, and devices.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1411511656/uiuethkebhfjlu3rbfds.png"
"Ontario Institute for Cancer Research","oicr","The Ontario Institute for Cancer Research is a translational research centre dedicated to better prevention, early detection, diagnosis & treatment of cancer.",0,4,"https://pbs.twimg.com/profile_images/1992936039/avatar_400x400.jpg"
"Formlabs","formlabs",,0,5,
